,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
535,1400076315,9781400076314,The Devil in the White City: A Saga of Magic and Murder at the Fair that Changed America,"Larson, Erik",Reprint,Kindle Edition,Vintage,2004
536,0425284700,9780425284704,Before We Were Yours: A Novel,"Wingate, Lisa",,Paperback,Ballantine Books,2019
537,0310330912,9780310330912,America the Beautiful: Rediscovering What Made This Nation Great,"Carson M.D., Ben",12/23/12,Paperback,Zondervan,2013
538,0545060478,9780545060479,"The Viper's Nest (The 39 Clues, Book 7)","Lerangis, Peter",Gmc Har/Cr,Hardcover,Scholastic Inc.,2010
539,1595143068,9781595143068,Last Sacrifice,Richelle Mead,1ST,Hardcover,Razorbill,2010
540,0736431187,9780736431187,Frozen: The Junior Novelization,Media tie-in,,Paperback,RH/Disney,2013
541,0545919770,9780545919777,"I Survived the Children's Blizzard, 1888 (I Survived #16)","Tarshis, Lauren",Illustrated,Paperback,Scholastic Paperbacks,2018
542,1632154560,9781632154569,The Walking Dead: Compendium Three,Robert Kirkman,Illustrated,Paperback,Image Comics,2015
543,0345803787,9780345803788,Crazy Rich Asians (Crazy Rich Asians Trilogy),"Kwan, Kevin",Reprint,Paperback,Anchor,2014
544,1501173219,9781501173219,All the Light We Cannot See: A Novel,"Doerr, Anthony",Reprint,Paperback,Scribner,2017
545,0385742886,9780385742887,The Kill Order (The Maze Runner),"Dashner, James",1st,Hardcover,Delacorte Press,2012
546,031631613X,9780316316132,Less (Winner of the Pulitzer Prize): A Novel,"Greer, Andrew Sean",Reprint,Paperback,Back Bay Books,2018
547,031631613X,9780316316132,Less (Winner of the Pulitzer Prize): A Novel,"Greer, Andrew Sean",Reprint,Paperback,Back Bay Books,2018
548,014198600X,9780141986005,Good Night Stories for Rebel Girls,"Favilli, Elena; Cavallo, Francesca",1st,Hardcover,Elena Favilli,2022
549,014198600X,9780141986005,Good Night Stories for Rebel Girls,"Favilli, Elena; Cavallo, Francesca",1st,Hardcover,Elena Favilli,2022
550,0399588183,9780399588181,Born a Crime: Stories from a South African Childhood,"Noah, Trevor",1,Kindle Edition,One World,2016
551,1421580373,9781421580371,Tokyo Ghoul Volume 1-14 Collection 14 Books Set,Sui Ishida,,Paperback,Viz LLC,2017
552,1338214489,9781338214482,The Hive Queen (Wings of Fire) (12),"Sutherland, Tui T.",Illustrated,Hardcover,Scholastic Press,2018
553,1401224687,9781401224684,Superman: Earth One,"Straczynski, J. Michael",,Hardcover,DC Comics,2010
554,1423140591,9781423140597,"The Son of Neptune (Heroes of Olympus, Book 2)","Riordan, Rick",,Hardcover,Disney-Hyperion,2011
555,0545175348,9780545175340,Captain Underpants and the Terrifying Return of Tippy Tinkletrousers (Captain Underpants #9) (9),"Pilkey, Dav; Pilkey, Dav",1st Edition,Hardcover,Scholastic Inc.,2012
556,141974027X,9781419740275,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,"Kinney, Jeff",Illustrated,Hardcover,Harry N. Abrams,2019
557,1452109206,9781452109206,"Steam Train, Dream Train (Easy Reader Books, Reading Books for Children)",Sherri Duskey Rinker,Illustrated,Hardcover,Chronicle Books,2013
558,0545912407,9780545912402,The Bad Guys (The Bad Guys #1) (1),"Blabey, Aaron",Illustrated,Paperback,Scholastic Press,2016
559,0698138635,9780698138636,Big Little Lies,"Moriarty, Liane",1st,Kindle Edition,Berkley,2014
560,039335668X,9780393356687,The Overstory: A Novel,"Powers, Richard",Reprint,Paperback,W. W. Norton & Company,2019
561,0399592520,9780399592522,Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,"Brown, Brené",First Edition,Hardcover,Random House,2018
562,0545935202,9780545935203,"Dog Man Book 1,2 & World Book Day : 3 Books Collection Set (Dog Man, Dog Man Unleashed)",Dav Pilkey,1,Paperback,Scholastic Book,2020
563,014311638X,9780143116387,Food Rules: An Eater's Manual,"Pollan, Michael",Illustrated,Paperback,Penguin Books,2009
564,0062304186,9780062304186,Pete the Cat: Five Little Pumpkins,"Dean, James; Dean, Kimberly",Illustrated,Hardcover,HarperCollins,2015
565,1439164967,9781439164969,YOU: On A Diet Revised Edition: The Owner's Manual for Waist Management,"Roizen, Michael F.; Oz, Mehmet",Reissue,Hardcover,Scribner,2009
566,1442468351,9781442468351,Lady Midnight (1) (The Dark Artifices),"Clare, Cassandra",1,Hardcover,Margaret K. McElderry Books,2016
567,006114097X,9780061140976,"The Awakening / The Struggle (Vampire Diaries, Books 1-2)","Smith, L. J.",,Paperback,HarperTeen,2022
568,1492670022,9781492670025,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America's Test Kitchen Kids,,Hardcover,Sourcebooks Explore,2018
569,0142420891,9780142420898,Where She Went,"Forman, Gayle",Reprint,Paperback,Speak,2012
570,030746363X,9780307463630,"THE 4 HOUR BODY An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Ferriss, Timothy",1st Edition.,Hardcover,Harmony,2022
571,0385534248,9780385534246,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David",Illustrated,Hardcover,Doubleday,2017
