ISBN,Title,Author,Publisher,Publication Year,Subjects
0060283734,The squeaky door,"MacDonald, Margaret Read, 1940-","HarperCollinsPublishers,",2006,Folklore Juvenile literature
0810993139,Greg Heffley's journal,"Kinney, Jeff","Amulet Books,",2007,Fiction
0061728446,"What's your sound, Hound the Hound?","Willems, Mo","Balzer + Bray,",2010,Animal
1501111108,Grit : the power of passion and perseverance,"Duckworth, Angela.","Scribner,",2016,Success
0385351399,The Circle : a novel,"Eggers, Dave","Alfred A. Knopf ; McSweeney's Books,",2013,Internet
0763627844,Tall,"Alborough, Jez","Candlewick Press,",2005,Juvenile fiction
030727103X,The buried giant,"Ishiguro, Kazuo, 1954-","Alfred A. Knopf,",2015,Fiction
0316098337,Room : a novel,"Donoghue, Emma, 1969-","Little, Brown and Co.,",2010,Fiction
0439023483,The hunger games,"Collins, Suzanne","Scholastic Press,",2008,Juvenile fiction fiction
1594489505,A thousand splendid suns,"Hosseini, Khaled","Riverhead Books,",2007,Families
1451681739,The light between oceans : a novel,"Stedman, M. L.","Scribner,",2012,Fiction
0736434569,The big case,"Scollon, Bill","Random House,",2016,Animals
0316154695,Let's explore diabetes with owls,"Sedaris, David","Little, Brown and Company,",2013,and 20th century
0375867643,Fred and Ted's road trip,"Eastman, Peter, 1942-","Beginner Books,",2011,Juvenile fiction
0545132053,Smile,"Telgemeier, Raina","Graphix,",2010,Comic books strips
0316393878,The wonder : a novel,"Donoghue, Emma, 1969-","Little, Brown and Company,",2016,Fiction Fasting
1609450787,"My brilliant friend : childhood, adolescence","Ferrante, Elena","Europa Editions,",2012,Friendship
0451494601,Stay with me,"Adebayo, Ayobami, 1988-","Alfred A. Knopf,",2017,Fiction
0316074314,The luminaries : a novel,"Catton, Eleanor, 1985-","Little, Brown,",2013,New Zealand Fiction
0618969020,Short nights of the Shadow Catcher : the epic life and immortal photographs of Edward Curtis,"Egan, Timothy","Houghton Mifflin Harcourt,",2012,United States
0670026603,Me before you,"Moyes, Jojo, 1969-","Viking,",2012,Fiction
1250077001,Furiously happy : {a funny book about horrible things},"Lawson, Jenny, 1973-","Flatiron Books,",2015,Biography
0375842209,The book thief,"Zusak, Markus","Alfred A. Knopf,",2007,Juvenile fiction 1945
1250105609,The dry,"Harper, Jane (Jane Elizabeth),","Flatiron Books,",2017,Fiction and Australia
0618265112,Bee-bim bop!,"Park, Linda Sue","Clarion Books,",2005,Juvenile fiction
0810970686,The last straw,"Kinney, Jeff","Amulet Books,",2009,Fiction
1476733503,The gene : an intimate history,"Mukherjee, Siddhartha","Scribner,",2016,Heredity
054480824X,On Turpentine Lane,"Lipman, Elinor","Houghton Mifflin Harcourt,",2017,Man
0316349933,Career of evil,"Galbraith, Robert","Mulholland Books/Little, Brown and Company,",2015,Fiction
1419705849,The third wheel,"Kinney, Jeff","Amulet Books,",2012,Fiction Juvenile fiction
0399184511,The mothers : a novel,"Bennett, Brit,","Riverhead Books,",2016,Fiction
0062110586,Pete the Cat and his four groovy buttons,"Litwin, Eric","Harper,",2012,Juvenile fiction
0399159347,The husband's secret,"Moriarty, Liane","Amy Einhorn Books, Published by G. P. Putnam's Sons, a member of Penguin Group (USA) Inc.,",2013,Fiction
0374158460,Freedom,"Franzen, Jonathan","Farrar, Straus and Giroux,",2010,Fiction and Minnesota
0375867805,"Babymouse. [16], Babymouse for president","Holm, Jennifer L.","Random House,",2012,Comic books strips
0802126472,Earthly remains,"Leon, Donna","Atlantic Monthly Press,",2017,Fiction Italy Venice
1501124374,Everyone brave is forgiven,"Cleave, Chris","Simon & Schuster,",2016,Fiction England London
1455586544,The fix,"Baldacci, David","Grand Central Publishing,",2017,Fiction Investigation
1594201455,In defense of food : an eater's manifesto,"Pollan, Michael","Penguin Press,",2008,Nutrition
0374203059,The marriage plot,"Eugenides, Jeffrey","Farrar, Straus and Giroux,",2011,Fiction
0375839895,"Babymouse. [7], Skater girl","Holm, Jennifer L.",Random House,2007,Comic books strips
0307270645,Everybody's fool,"Russo, Richard, 1949-","Alfred A. Knopf,",2016,Fiction
0062316095,Sapiens : a brief history of humankind,"Harari, Yuval N.","Harper,",2015,History
0375832313,"Babymouse. [3], Beach babe!","Holm, Jennifer L.","Random House Children's Books,",2006,Comic books strips
0810983915,Dog days,"Kinney, Jeff","Amulet Books,",2009,Summer
0375830359,Night of the new magicians,"Osborne, Mary Pope","Random House,",2006,Juvenile Fiction fiction
1423101464,The battle of the Labyrinth,"Riordan, Rick","Hyperion Books for Children,",2008,Juvenile fiction Mythology
1933372605,The elegance of the hedgehog,"Barbery, Muriel, 1969-",Europa Editions Inc,2008,Apartment France Paris
0525509712,Behold the dreamers : a novel,"Mbue, Imbolo.","Random House,",2016,Fiction United States
0374214913,Mr. Penumbra's 24-hour bookstore,"Sloan, Robin, 1979-","Farrar, Straus and Giroux,",2012,Bookstores Fiction fiction
1594204217,Cooked : a natural history of transformation,"Pollan, Michael","The Penguin Press,",2013,Cooking
0374280878,Hild,"Griffith, Nicola","Farrar, Straus and Giroux,",2013,Fiction Whitby Christian
1449427774,Big Nate. Game on!,"Peirce, Lincoln","Andrews McMeel,",2013,Comic books strips
0545128285,The tales of Beedle the Bard,"Rowling, J. K.","Lumos, formerly the Children's High Level Group, in association with Arthur A. Levine Books,",2008,Juvenile fiction
0316225886,The crossing : a novel,"Connelly, Michael, 1956-","Little, Brown and Company,",2015,Fiction
1101875895,Our souls at night,"Haruf, Kent","Alfred A. Knopf,",2015,Fiction
0385340990,The Guernsey Literary and Potato Peel Pie Society,"Shaffer, Mary Ann","The Dial Press,",2008,Fiction England
1476789630,Luckiest girl alive,"Knoll, Jessica.","Simon & Schuster,",2015,Fiction New York
0810994739,Rodrick rules,"Kinney, Jeff","Amulet Books,",2008,Fiction
0375839887,"Babymouse. [6], Camp Babymouse","Holm, Jennifer L.","Random House,",2007,Comic books strips
1594632022,Last bus to wisdom,"Doig, Ivan","Riverhead Books,",2015,Fiction
1250022088,The nature of the beast,"Penny, Louise","Minotaur Books,",2015,Fiction
0307746607,A crazy day with cobras,"Osborne, Mary Pope","Random House,",2011,Juvenile fiction Fiction
1565124995,Water for elephants : a novel,"Gruen, Sara","Algonquin Books,",2006,Fiction Circus
0060745142,SuperHero ABC,"McLeod, Bob","HarperCollins,",2006,Heroes
1455531189,You'll grow out of it,"Klein, Jessi, 1975-","Grand Central Publishing,",2016,Klein
0316342572,Rather be the devil : a novel,"Rankin, Ian","Little, Brown and Company,",2017,Fiction Scotland Edinburgh
0375839909,"Babymouse. [8], Puppy love","Holm, Jennifer L.","Random House,",2007,Comic books strips
0375832291,"Babymouse. [1], Queen of the world!","Holm, Jennifer L.","Random House,",2005,Comic books strips
0545433150,"Amulet. Book six, Escape from Lucien","Kibuishi, Kazu, 1978-","Graphix,",2014,Comic books strips
0763655988,I want my hat back,"Klassen, Jon","Candlewick Press,",2011,Juvenile fiction
030788743X,Ready player one,"Cline, Ernest","Crown Publishers,",2011,Fiction
0545871875,Captain Underpants and the perilous plot of Professor Poopypants : the fourth epic novel,"Pilkey, Dav, 1966-","Scholastic Inc.,",2016,Juvenile fiction Fiction
0763655996,This is not my hat,"Klassen, Jon","Candlewick Press,",2012,Juvenile fiction Fiction
1250022061,The long way home,"Penny, Louise","Minotaur Books,",2014,Fiction
0545326982,Drama,"Telgemeier, Raina","Graphix,",2012,Comic books strips
0374239215,Purity,"Franzen, Jonathan","Farrar, Straus and Giroux,",2015,Fiction
0316126691,The art of fielding : a novel,"Harbach, Chad","Little, Brown and Co.,",2011,Fiction College
1439195455,Why Buddhism is true : the science and philosophy of meditation and enlightenment,"Wright, Robert, 1957-","Simon & Schuster,",2017,Apologetic
1419717014,Old school,"Kinney, Jeff","Amulet Books,",2015,Fiction Juvenile Electronics
148473274X,The hidden oracle,"Riordan, Rick","Disney-Hyperion,",2016,Fiction Greek Apollo
0670026328,The secret place,"French, Tana","Viking,",2014,Murder
0399184414,Seven brief lessons on physics,"Rovelli, Carlo, 1956-","Riverhead Books,",2016,Physics
1501160761,Beartown : a novel,"Backman, Fredrik, 1981-","Atria Books,",2017,Fiction
0375856463,Moonlight on the magic flute,"Osborne, Mary Pope","Random House,",2009,Juvenile fiction Fiction
1594205418,Funny girl,"Hornby, Nick","Riverhead Books, a member of Penguin Group (USA),",2015,Fiction
0061703818,Fancy Nancy and the mermaid ballet,"O'Connor, Jane","Harper,",2012,Juvenile
1250088550,This is how it always is,"Frankel, Laurie","Flatiron Books,",2017,Fiction children
1594487367,This is how you lose her,"Díaz, Junot, 1968-","Riverhead Books,",2012,Short
0345491815,Garfield weighs his options,"Davis, Jim, 1945 July 28-","Ballantine Books,",2010,Comic books strips
0062001752,Splendid speller,"O'Connor, Jane","Harper,",2011,Juvenile fiction Fiction
0307265439,The road,"McCarthy, Cormac, 1933-","Alfred A. Knopf,",2006,Fiction and
159463467X,Modern lovers,"Straub, Emma","Riverhead Books,",2016,Fiction
1101875046,In the unlikely event,"Blume, Judy","Alfred A. Knopf,",2015,Fiction
0316160172,Twilight,"Meyer, Stephenie, 1973-","Little, Brown and Co.,",2005,Juvenile fiction
